127.0.0.1 - - [15/May/2016:16:16:39 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/May/2016:16:16:55 +0530] "GET /OnlineBankingSystems/homepage.html HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [15/May/2016:16:16:56 +0530] "GET /OnlineBankingSystems/style.css HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [15/May/2016:16:16:56 +0530] "GET /OnlineBankingSystems/images/globe_03.gif HTTP/1.1" 200 43705
0:0:0:0:0:0:0:1 - - [15/May/2016:16:16:56 +0530] "GET /OnlineBankingSystems/images/bank1.jpg HTTP/1.1" 200 604149
0:0:0:0:0:0:0:1 - - [15/May/2016:16:16:56 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/May/2016:16:16:56 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:32 +0530] "GET /OnlineBankingSystems/index.html HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:32 +0530] "GET /OnlineBankingSystems/images/bank2.jpg HTTP/1.1" 200 66631
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:32 +0530] "GET /OnlineBankingSystems/images/globe_12.gif HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:32 +0530] "GET /OnlineBankingSystems/images/globe_16.gif HTTP/1.1" 200 5523
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:33 +0530] "GET /OnlineBankingSystems/images/image_03.gif HTTP/1.1" 200 3869
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:33 +0530] "GET /OnlineBankingSystems/images/globe_06.jpg HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:33 +0530] "GET /OnlineBankingSystems/images/globe_05.jpg HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:33 +0530] "GET /OnlineBankingSystems/images/bullet.png HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:33 +0530] "GET /OnlineBankingSystems/images/image_04.gif HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:33 +0530] "GET /OnlineBankingSystems/images/image_05.gif HTTP/1.1" 200 4337
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:36 +0530] "GET /OnlineBankingSystems/create.html HTTP/1.1" 200 5397
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:36 +0530] "GET /OnlineBankingSystems/images/home1.gif HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:36 +0530] "GET /OnlineBankingSystems/images/globe_10.gif HTTP/1.1" 200 17328
0:0:0:0:0:0:0:1 - - [15/May/2016:16:17:47 +0530] "GET /OnlineBankingSystems/deposit1.jsp HTTP/1.1" 200 5075
0:0:0:0:0:0:0:1 - - [15/May/2016:16:19:10 +0530] "GET /OnlineBankingSystems/CreateServlet?username=Gaandu+Gayen&password=Gayen&repassword=Gayen&amount=1000&adderess=Kolkata&phone=908765432 HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [15/May/2016:16:20:53 +0530] "GET /OnlineBankingSystems/mylogin.html HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [15/May/2016:16:21:05 +0530] "GET /OnlineBankingSystems/mylogin.html HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [15/May/2016:16:21:45 +0530] "GET /OnlineBankingSystems/adminlogin.html HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [15/May/2016:16:22:12 +0530] "GET /OnlineBankingSystems/deposit1.jsp HTTP/1.1" 200 5075
